Name,Price,Location,Fuel Type,Transmission,Kms Driven,Year,Company Name
S-Presso ,4.40 Lakh,new delhi,Petrol,Manual,30480,2020,Maruti
i20 ,6.21 Lakh,new delhi,Petrol,Manual,28886,2018,Hyundai
Grand i10 ,4.20 Lakh,new delhi,Petrol,Manual,40191,2017,Hyundai
Santro ,5.72 Lakh,new delhi,CNG,Manual,39418,2020,Hyundai
Wagon R ,4.39 Lakh,new delhi,CNG,Manual,82677,2018,Maruti
Alto 800 ,3.13 Lakh,new delhi,Petrol,Manual,25508,2018,Maruti
i20 ,5.13 Lakh,new delhi,Petrol,Manual,71084,2015,Hyundai
XUV500 ,10.86 Lakh,new delhi,Diesel,Manual,76342,2018,Mahindra
Baleno ,6.13 Lakh,new delhi,Petrol,Manual,46804,2018,Maruti
Alto 800 ,4.00 Lakh,new delhi,Petrol,Manual,11413,2021,Maruti
City ,6.70 Lakh,new delhi,Petrol,Manual,34031,2015,Honda
City ,8.62 Lakh,new delhi,Petrol,Manual,35364,2018,Honda
Baleno ,5.83 Lakh,new delhi,Petrol,Manual,56422,2018,Maruti
Celerio ,4.42 Lakh,new delhi,CNG,Manual,89263,2017,Maruti
Etios Liva ,2.37 Lakh,new delhi,Petrol,Manual,129612,2011,Toyota
Vitara Brezza ,6.33 Lakh,new delhi,Diesel,Manual,58972,2017,Maruti
i20 ,5.38 Lakh,new delhi,Petrol,Manual,47079,2015,Hyundai
Baleno ,5.86 Lakh,new delhi,Petrol,Manual,39781,2017,Maruti
Amaze ,3.95 Lakh,new delhi,Petrol,Manual,62662,2015,Honda
Thar ,7.34 Lakh,new delhi,Diesel,Manual,60020,2017,Mahindra
Creta ,8.87 Lakh,new delhi,Petrol,Manual,45716,2018,Hyundai
City ,4.98 Lakh,new delhi,Petrol,Manual,92529,2014,Honda
Alto K10 ,3.35 Lakh,new delhi,Petrol,Manual,40311,2018,Maruti
Ciaz ,8.21 Lakh,new delhi,Petrol,Manual,32480,2018,Maruti
Celerio ,5.13 Lakh,new delhi,CNG,Manual,50969,2018,Maruti
Ignis ,6.33 Lakh,new delhi,Petrol,Manual,6068,2021,Maruti
Innova Crysta ,17.32 Lakh,new delhi,Diesel,Manual,34941,2017,Toyota
S-Presso ,4.53 Lakh,new delhi,Petrol,Manual,9338,2020,Maruti
Alto K10 ,3.76 Lakh,new delhi,Petrol,Automatic,14190,2018,Maruti
City ,9.68 Lakh,new delhi,Petrol,Manual,23149,2018,Honda
XUV500 ,11.07 Lakh,new delhi,Diesel,Manual,44081,2017,Mahindra
Wagon R ,4.78 Lakh,new delhi,CNG,Manual,58196,2018,Maruti
City ,10.36 Lakh,new delhi,Petrol,Automatic,49539,2018,Honda
KWID ,3.33 Lakh,new delhi,Petrol,Manual,23290,2017,Renault
Innova Crysta ,18.23 Lakh,new delhi,Diesel,Automatic,84931,2017,Toyota
Baleno ,5.45 Lakh,new delhi,Petrol,Manual,29859,2016,Maruti
Nexon ,8.10 Lakh,new delhi,Diesel,Automatic,69828,2018,Tata
Baleno ,5.06 Lakh,new delhi,Petrol,Manual,68358,2016,Maruti
Brio ,3.48 Lakh,new delhi,Petrol,Manual,29460,2015,Honda
Vitara Brezza ,6.44 Lakh,new delhi,Diesel,Manual,45340,2018,Maruti
Ecosport ,4.33 Lakh,new delhi,Diesel,Manual,112013,2015,Ford
i20 ,4.83 Lakh,new delhi,Petrol,Manual,52300,2016,Hyundai
Alto K10 ,3.05 Lakh,new delhi,Petrol,Manual,30378,2016,Maruti
Swift ,4.28 Lakh,new delhi,Petrol,Manual,47879,2017,Maruti
Swift ,3.95 Lakh,new delhi,Petrol,Manual,114528,2015,Maruti
