Name,Price,Location,Fuel Type,Transmission,Kms Driven,Year,Company Name
Wagon R ,5.10 Lakh,new delhi,Petrol,Manual,18000,2019,Maruti
Wagon R ,3.45 Lakh,new delhi,CNG,Manual,62000,2015,Maruti
Harrier ,18.90 Lakh,new delhi,Diesel,Manual,32000,2020,Tata
Thar ,16.50 Lakh,new delhi,Diesel,Manual,14900,2021,Mahindra
Celerio ,4.40 Lakh,new delhi,Petrol,Automatic,62000,2016,Maruti
WR-V ,8.35 Lakh,new delhi,Petrol,Manual,35000,2019,Honda
Aura ,8.75 Lakh,new delhi,CNG,Manual,25000,2021,Hyundai
Verna ,7.25 Lakh,new delhi,Petrol,Manual,47000,2016,Hyundai
City ,7.25 Lakh,new delhi,Diesel,Manual,72000,2016,Honda
Creta ,9.25 Lakh,new delhi,Diesel,Manual,62445,2018,Hyundai
i20 ,4.60 Lakh,new delhi,Diesel,Manual,82000,2014,Hyundai
3 DOOR ,35.50 Lakh,new delhi,Petrol,Automatic,12000,2018,Mini Cooper
A6 ,59.00 Lakh,new delhi,Petrol,Automatic,8000,2021,Audi
X7 ,1.25 Cr,new delhi,Petrol,Automatic,17000,2021,BMW
X7 ,1.32 Cr,new delhi,Petrol,Automatic,9000,2022,BMW
Hector Plus ,18.75 Lakh,new delhi,Petrol,Automatic,14002,2020,MG
Hector ,19.90 Lakh,new delhi,Petrol,Automatic,12000,2021,MG
City ,16.00 Lakh,new delhi,Petrol,Automatic,4000,2022,Honda
E-Class ,58.00 Lakh,new delhi,Diesel,Automatic,15000,2019,Mercedes-Benz
7 Series ,65.00 Lakh,new delhi,Diesel,Automatic,41000,2016,BMW
Swift ,4.50 Lakh,new delhi,Petrol,Manual,70000,2017,Maruti
Innova Crysta ,16.50 Lakh,new delhi,Diesel,Manual,15000,2020,Toyota
GL-Class ,28.50 Lakh,new delhi,Diesel,Automatic,54000,2013,Mercedes-Benz
Hector Plus ,19.95 Lakh,new delhi,Petrol,Automatic,9000,2021,MG
Quanto ,2.25 Lakh,new delhi,Diesel,Manual,95000,2012,Mahindra
Wagon R ,4.75 Lakh,new delhi,CNG,Manual,39000,2019,Maruti
i10 ,2.15 Lakh,new delhi,Petrol,Manual,59000,2011,Hyundai
Sonet ,11.50 Lakh,new delhi,Petrol,Automatic,37000,2020,Kia
i20 Active ,6.15 Lakh,new delhi,Petrol,Manual,33000,2017,Hyundai
Grand i10 ,4.25 Lakh,new delhi,Diesel,Manual,70000,2017,Hyundai
Ciaz ,5.55 Lakh,new delhi,Petrol,Manual,56645,2015,Maruti
M-Class ,19.75 Lakh,new delhi,Diesel,Automatic,122000,2014,Mercedes-Benz
City ,6.10 Lakh,new delhi,Petrol,Manual,57000,2015,Honda
Amaze ,7.40 Lakh,new delhi,Petrol,Automatic,31000,2018,Honda
Wagon R ,3.25 Lakh,new delhi,Petrol,Manual,59708,2015,Maruti
Wagon R ,4.30 Lakh,new delhi,Petrol,Manual,41000,2019,Maruti
Wagon R ,3.79 Lakh,new delhi,Petrol,Manual,42456,2016,Maruti
Celerio ,3.00 Lakh,new delhi,Petrol,Automatic,120000,2014,Maruti
5 Series ,49.90 Lakh,new delhi,Diesel,Automatic,21000,2019,BMW
XUV500 ,19.00 Lakh,new delhi,Diesel,Automatic,32000,2020,Mahindra
Amaze ,7.45 Lakh,new delhi,Petrol,Automatic,39101,2019,Honda
Land Rover Cruiser ,1.30 Cr,new delhi,Diesel,Automatic,99000,2017,Toyota
Verna ,12.15 Lakh,new delhi,Petrol,Manual,6101,2020,Hyundai
XJ ,32.50 Lakh,new delhi,Diesel,Automatic,17000,2014,Jaguar
Ciaz ,9.25 Lakh,new delhi,Petrol,Automatic,29108,2018,Maruti
Camry ,16.95 Lakh,new delhi,Petrol,Automatic,99101,2016,Toyota
Cooper ,24.60 Lakh,new delhi,Petrol,Automatic,35000,2015,Mini Cooper
Innova Crysta ,16.95 Lakh,new delhi,Diesel,Manual,39102,2017,Toyota
Compass ,16.75 Lakh,new delhi,Petrol,Manual,15102,2020,Jeep
XUV700 ,19.50 Lakh,new delhi,Petrol,Manual,8101,2022,Mahindra
Santa Fe ,8.25 Lakh,new delhi,Diesel,Automatic,105001,2014,Hyundai
Ecosport ,4.49 Lakh,new delhi,Diesel,Manual,109684,2015,Ford
Range Rover Evoque ,69.00 Lakh,new delhi,Diesel,Automatic,14000,2021,Land Rover
Scorpio ,14.25 Lakh,new delhi,Diesel,Manual,20000,2021,Mahindra
Grand i10 ,3.10 Lakh,new delhi,Diesel,Manual,82000,2014,Hyundai
Safari Storme ,4.10 Lakh,new delhi,Diesel,Manual,76000,2013,Tata
Creta ,11.90 Lakh,new delhi,Diesel,Manual,35000,2019,Hyundai
Amaze ,2.90 Lakh,new delhi,Diesel,Manual,72000,2014,Honda
Nexon EV Prime ,15.20 Lakh,new delhi,Electric,Automatic,27000,2020,Tata
Scorpio ,11.90 Lakh,new delhi,Diesel,Manual,70170,2017,Mahindra
City ,10.50 Lakh,new delhi,Petrol,Automatic,20000,2019,Honda
Scorpio ,15.95 Lakh,new delhi,Diesel,Manual,49622,2020,Mahindra
E-Class ,26.50 Lakh,new delhi,Petrol,Automatic,67000,2016,Mercedes-Benz
Baleno ,6.25 Lakh,new delhi,Petrol,Manual,51017,2019,Maruti
CLA ,22.00 Lakh,new delhi,Diesel,Automatic,25001,2016,Mercedes-Benz
Amaze ,3.65 Lakh,new delhi,Petrol,Manual,65000,2014,Honda
Creta ,9.65 Lakh,new delhi,Petrol,Manual,45000,2017,Hyundai
Wagon R ,5.75 Lakh,new delhi,Petrol,Automatic,32000,2019,Maruti
Wagon R ,2.20 Lakh,new delhi,CNG,Manual,85000,2012,Maruti
Scorpio ,9.63 Lakh,new delhi,Diesel,Manual,67000,2017,Mahindra
Duster ,4.49 Lakh,new delhi,Diesel,Manual,85000,2014,Renault
CR-V ,8.45 Lakh,new delhi,Petrol,Automatic,81845,2013,Honda
City ,10.75 Lakh,new delhi,Petrol,Manual,8500,2021,Honda
Mobilio ,5.90 Lakh,new delhi,Petrol,Manual,51000,2015,Honda
XUV500 ,4.95 Lakh,new delhi,Diesel,Manual,52650,2013,Mahindra
Amaze ,6.50 Lakh,new delhi,Petrol,Manual,25000,2020,Honda
XL6 ,11.00 Lakh,new delhi,Petrol,Manual,19000,2019,Maruti
Ciaz ,6.50 Lakh,new delhi,Diesel,Manual,37000,2017,Maruti
Vitara Brezza ,8.25 Lakh,new delhi,Diesel,Automatic,42000,2019,Maruti
City ,9.25 Lakh,new delhi,Petrol,Manual,20550,2019,Honda
City ,8.90 Lakh,new delhi,Petrol,Manual,35452,2019,Honda
E-Class ,48.75 Lakh,new delhi,Petrol,Automatic,54000,2018,Mercedes-Benz
Harrier ,13.76 Lakh,new delhi,Diesel,Manual,55000,2019,Tata
Creta ,9.75 Lakh,new delhi,Petrol,Manual,25000,2017,Hyundai
Hector Plus ,20.75 Lakh,new delhi,Petrol,Automatic,7000,2021,MG
Octavia ,10.90 Lakh,new delhi,Diesel,Automatic,75000,2016,Skoda
5 Series ,25.95 Lakh,new delhi,Diesel,Automatic,70000,2017,BMW
Etios ,4.60 Lakh,new delhi,Diesel,Manual,61000,2014,Toyota
Etios ,4.75 Lakh,new delhi,Diesel,Manual,28000,2014,Toyota
Hector ,17.50 Lakh,new delhi,Petrol,Automatic,14000,2020,MG
Compass ,12.71 Lakh,new delhi,Diesel,Manual,35000,2019,Jeep
Platinum Etios ,5.40 Lakh,new delhi,Diesel,Manual,76000,2017,Toyota
Figo ,2.25 Lakh,new delhi,Petrol,Manual,51000,2012,Ford
Jazz ,6.25 Lakh,new delhi,Petrol,Manual,37788,2017,Honda
Wagon R ,4.17 Lakh,new delhi,Petrol,Manual,37349,2017,Maruti
C-Class ,34.97 Lakh,new delhi,Diesel,Automatic,19000,2017,Mercedes-Benz
X1 ,26.91 Lakh,new delhi,Diesel,Automatic,38000,2018,BMW
Superb ,3.75 Lakh,new delhi,Petrol,Automatic,65000,2010,Skoda
Verna ,8.50 Lakh,new delhi,Petrol,Manual,53000,2018,Hyundai
Hector ,17.50 Lakh,new delhi,Petrol,Automatic,14000,2020,MG
Polo ,2.75 Lakh,new delhi,Petrol,Manual,53000,2013,Volkswagen
Grand i10 ,4.40 Lakh,new delhi,Petrol,Manual,54000,2015,Hyundai
Amaze ,3.75 Lakh,new delhi,Diesel,Manual,69000,2015,Honda
Creta ,19.75 Lakh,new delhi,Petrol,Automatic,15000,2021,Hyundai
New Safari ,21.99 Lakh,new delhi,Diesel,Manual,17000,2021,Tata
Ignis ,4.10 Lakh,new delhi,Petrol,Manual,42402,2017,Maruti
Q5 ,43.00 Lakh,new delhi,Petrol,Automatic,33000,2019,Audi
WR-V ,7.60 Lakh,new delhi,Petrol,Manual,21000,2019,Honda
Q3 ,24.90 Lakh,new delhi,Petrol,Automatic,38000,2017,Audi
Ecosport ,7.70 Lakh,new delhi,Petrol,Automatic,49000,2017,Ford
Ciaz ,5.65 Lakh,new delhi,Petrol,Manual,48000,2015,Maruti
Ciaz ,8.50 Lakh,new delhi,Petrol,Manual,41000,2019,Maruti
City ,7.25 Lakh,new delhi,Petrol,Automatic,63381,2016,Honda
Endeavour ,36.75 Lakh,new delhi,Diesel,Automatic,36500,2021,Ford
City ,6.65 Lakh,new delhi,Petrol,Automatic,44377,2015,Honda
Cooper Countryman ,40.00 Lakh,new delhi,Petrol,Automatic,11000,2021,Mini Cooper
Grand i10 ,4.45 Lakh,new delhi,Petrol,Manual,41489,2013,Hyundai
Endeavour ,38.00 Lakh,new delhi,Diesel,Automatic,30000,2021,Ford
Nexon ,6.75 Lakh,new delhi,Diesel,Manual,65346,2018,Tata
Vento ,2.45 Lakh,new delhi,Petrol,Manual,59000,2010,Volkswagen
Nexon ,8.55 Lakh,new delhi,Diesel,Automatic,73785,2019,Tata
Ignis ,5.45 Lakh,new delhi,Petrol,Manual,28605,2018,Maruti
Grand i10 ,5.45 Lakh,new delhi,Petrol,Manual,58783,2016,Hyundai
Grand i10 ,5.90 Lakh,new delhi,Petrol,Manual,24908,2020,Hyundai
Swift Dzire ,2.80 Lakh,new delhi,Petrol,Manual,140000,2012,Maruti
TUV 300 ,5.75 Lakh,new delhi,Diesel,Manual,71500,2016,Mahindra
Scorpio ,11.45 Lakh,new delhi,Diesel,Manual,83768,2017,Mahindra
Amaze ,4.45 Lakh,new delhi,Petrol,Manual,85249,2015,Honda
Amaze ,5.75 Lakh,new delhi,Petrol,Manual,71070,2018,Honda
CR-V ,11.52 Lakh,new delhi,Petrol,Automatic,72000,2016,Honda
Amaze ,8.50 Lakh,new delhi,Diesel,Automatic,29453,2019,Honda
Amaze ,4.45 Lakh,new delhi,Petrol,Manual,79751,2015,Honda
Amaze ,4.45 Lakh,new delhi,Petrol,Manual,62789,2015,Honda
Hector ,16.52 Lakh,new delhi,Petrol,Automatic,48000,2019,MG
New Safari ,22.50 Lakh,new delhi,Diesel,Automatic,12002,2021,Tata
TUV 300 ,5.90 Lakh,new delhi,Diesel,Manual,43002,2017,Mahindra
City ,7.21 Lakh,new delhi,Petrol,Manual,29500,2017,Honda
Swift ,2.90 Lakh,new delhi,Petrol,Manual,55000,2011,Maruti
City ,7.65 Lakh,new delhi,Petrol,Automatic,67000,2016,Honda
Elantra ,6.25 Lakh,new delhi,Petrol,Manual,38000,2013,Hyundai
Amaze ,7.25 Lakh,new delhi,Petrol,Manual,16000,2019,Honda
i10 ,1.65 Lakh,new delhi,Petrol,Manual,44711,2010,Hyundai
City ,6.25 Lakh,new delhi,Petrol,Manual,36504,2015,Honda
City ,7.25 Lakh,new delhi,Petrol,Automatic,50123,2016,Honda
XUV500 ,6.50 Lakh,new delhi,Diesel,Manual,90000,2014,Mahindra
Ecosport ,5.10 Lakh,new delhi,Petrol,Manual,68000,2014,Ford
A6 ,25.90 Lakh,new delhi,Diesel,Automatic,44000,2017,Audi
i10 ,3.01 Lakh,new delhi,Petrol,Manual,48000,2015,Hyundai
Swift Dzire ,5.25 Lakh,new delhi,Petrol,Manual,84900,2017,Maruti
C-Class ,47.90 Lakh,new delhi,Petrol,Automatic,11000,2021,Mercedes-Benz
Wagon R ,5.75 Lakh,new delhi,CNG,Manual,59000,2019,Maruti
Compass ,20.50 Lakh,new delhi,Petrol,Automatic,9000,2020,Jeep
C-Class ,47.95 Lakh,new delhi,Petrol,Automatic,5800,2021,Mercedes-Benz
Fortuner ,41.00 Lakh,new delhi,Diesel,Automatic,39000,2020,Toyota
Endeavour ,27.90 Lakh,new delhi,Diesel,Automatic,88000,2018,Ford
XUV500 ,9.75 Lakh,new delhi,Diesel,Automatic,56786,2016,Mahindra
Wrangler ,60.95 Lakh,new delhi,Petrol,Automatic,10000,2021,Jeep
City ,7.25 Lakh,new delhi,Petrol,Manual,64000,2016,Honda
City ,6.75 Lakh,new delhi,Petrol,Manual,38500,2015,Honda
Scorpio ,5.00 Lakh,new delhi,Diesel,Manual,80000,2014,Mahindra
Ssangyong Rexton ,7.25 Lakh,new delhi,Diesel,Manual,67000,2014,Mahindra
Santro Xing ,99000,new delhi,Petrol,Manual,85000,2008,Hyundai
Fortuner ,24.95 Lakh,new delhi,Diesel,Automatic,79000,2016,Toyota
Vitara Brezza ,7.45 Lakh,new delhi,Diesel,Manual,70000,2017,Maruti
Freelander 2 ,11.85 Lakh,new delhi,Diesel,Automatic,90000,2014,Land Rover
Creta ,8.89 Lakh,new delhi,Diesel,Automatic,69000,2016,Hyundai
i20 ,3.05 Lakh,new delhi,Petrol,Manual,78000,2012,Hyundai
Scorpio ,5.25 Lakh,new delhi,Diesel,Manual,74000,2014,Mahindra
X3 ,62.75 Lakh,new delhi,Petrol,Automatic,18000,2021,BMW
Ciaz ,7.25 Lakh,new delhi,Petrol,Manual,52000,2017,Maruti
Seltos ,17.90 Lakh,new delhi,Diesel,Manual,15000,2021,Kia
Jazz ,2.15 Lakh,new delhi,Petrol,Manual,53000,2010,Honda
C-Class ,41.00 Lakh,new delhi,Diesel,Automatic,26000,2019,Mercedes-Benz
C-Class ,12.99 Lakh,new delhi,Diesel,Automatic,39000,2013,Mercedes-Benz
Scorpio ,11.75 Lakh,new delhi,Diesel,Manual,69000,2017,Mahindra
X3 ,27.50 Lakh,new delhi,Diesel,Automatic,45000,2016,BMW
XUV500 ,4.20 Lakh,new delhi,Diesel,Manual,120000,2013,Mahindra
Fortuner ,27.45 Lakh,new delhi,Diesel,Automatic,110000,2017,Toyota
Ignis ,4.75 Lakh,new delhi,Petrol,Manual,45000,2017,Maruti
Alto K10 ,3.10 Lakh,new delhi,Petrol,Manual,50000,2017,Maruti
City ,7.75 Lakh,new delhi,Petrol,Automatic,46000,2015,Honda
SX4 ,3.35 Lakh,new delhi,CNG,Manual,74000,2013,Maruti
C-Class ,8.50 Lakh,new delhi,Petrol,Automatic,74000,2010,Mercedes-Benz
Sonet ,12.10 Lakh,new delhi,Diesel,Manual,15000,2021,Kia
Venue ,13.17 Lakh,new delhi,Petrol,Automatic,7000,2022,Hyundai
Compass ,16.50 Lakh,new delhi,Petrol,Automatic,24000,2018,Jeep
Amaze ,4.25 Lakh,new delhi,Petrol,Manual,65000,2016,Honda
Scorpio ,6.45 Lakh,new delhi,Diesel,Manual,24000,2014,Mahindra
i10 ,2.40 Lakh,new delhi,Petrol,Manual,44000,2012,Hyundai
Jazz ,1.95 Lakh,new delhi,Petrol,Manual,56000,2009,Honda
C-Class ,3.20 Lakh,new delhi,Petrol,Manual,65000,2008,Mercedes-Benz
Corolla Altis ,3.40 Lakh,new delhi,Petrol,Manual,92000,2010,Toyota
Wrangler ,59.00 Lakh,new delhi,Petrol,Automatic,35000,2021,Jeep
XUV500 ,5.75 Lakh,new delhi,Diesel,Manual,64000,2014,Mahindra
Range Rover Sport ,1.21 Cr,new delhi,Petrol,Automatic,15000,2019,Land Rover
Creta ,10.50 Lakh,new delhi,Diesel,Manual,24000,2019,Hyundai
Triber ,5.50 Lakh,new delhi,Petrol,Manual,39000,2021,Renault
Ignis ,5.50 Lakh,new delhi,Diesel,Manual,56000,2017,Maruti
i10 ,2.15 Lakh,new delhi,Petrol,Manual,65000,2012,Hyundai
i20 ,1.75 Lakh,new delhi,Petrol,Manual,86000,2010,Hyundai
i10 ,2.60 Lakh,new delhi,Petrol,Manual,64000,2014,Hyundai
Hector ,19.75 Lakh,new delhi,Petrol,Automatic,7100,2021,MG
Creta ,13.75 Lakh,new delhi,Petrol,Automatic,32000,2019,Hyundai
XUV500 ,14.90 Lakh,new delhi,Diesel,Automatic,42001,2018,Mahindra
Scorpio ,5.75 Lakh,new delhi,Diesel,Manual,74000,2014,Mahindra
City ,6.70 Lakh,new delhi,Petrol,Automatic,50000,2015,Honda
Thar ,18.50 Lakh,new delhi,Diesel,Automatic,6000,2022,Mahindra
Etios Liva ,2.85 Lakh,new delhi,Petrol,Manual,59000,2011,Toyota
Beetle ,12.75 Lakh,new delhi,Petrol,Automatic,18000,2010,Volkswagen
Creta ,17.00 Lakh,new delhi,Diesel,Manual,55124,2020,Hyundai
Creta ,9.25 Lakh,new delhi,Petrol,Manual,54300,2017,Hyundai
Swift ,5.50 Lakh,new delhi,Petrol,Manual,15000,2018,Maruti
7 Series ,29.75 Lakh,new delhi,Diesel,Automatic,56000,2015,BMW
Scorpio ,4.45 Lakh,new delhi,Diesel,Manual,76000,2013,Mahindra
Vitara Brezza ,8.25 Lakh,new delhi,Diesel,Manual,30001,2019,Maruti
Creta ,10.00 Lakh,new delhi,Diesel,Manual,36158,2019,Hyundai
Fortuner ,16.75 Lakh,new delhi,Diesel,Automatic,43000,2014,Toyota
Endeavour ,28.75 Lakh,new delhi,Diesel,Automatic,75000,2018,Ford
XUV700 ,18.00 Lakh,new delhi,Diesel,Manual,4000,2022,Mahindra
City ,6.75 Lakh,new delhi,Diesel,Manual,53600,2015,Honda
Thar ,5.25 Lakh,new delhi,Diesel,Manual,40000,2014,Mahindra
Cayenne ,52.00 Lakh,new delhi,Diesel,Automatic,65000,2015,Porsche
3 DOOR ,40.00 Lakh,new delhi,Petrol,Automatic,13000,2020,Mini Cooper
Etios Liva ,2.50 Lakh,new delhi,Petrol,Manual,75000,2011,Toyota
Q5 ,41.50 Lakh,new delhi,Diesel,Automatic,42600,2018,Audi
GLS ,59.50 Lakh,new delhi,Diesel,Automatic,75000,2017,Mercedes-Benz
Ciaz ,6.50 Lakh,new delhi,Petrol,Manual,29000,2016,Maruti
XF ,13.90 Lakh,new delhi,Diesel,Automatic,56000,2013,Jaguar
V-Class ,64.00 Lakh,new delhi,Diesel,Automatic,45000,2019,Mercedes-Benz
GLC ,55.00 Lakh,new delhi,Petrol,Automatic,16000,2018,Mercedes-Benz
C-Class ,9.49 Lakh,new delhi,Petrol,Automatic,78000,2011,Mercedes-Benz
C-Class ,9.90 Lakh,new delhi,Petrol,Automatic,77000,2011,Mercedes-Benz
C-Class ,69.00 Lakh,new delhi,Petrol,Automatic,9800,2020,Mercedes-Benz
Range Rover ,34.00 Lakh,new delhi,Diesel,Automatic,85000,2012,Land Rover
Amaze ,4.45 Lakh,new delhi,Petrol,Manual,29000,2015,Honda
A4 ,14.50 Lakh,new delhi,Diesel,Automatic,43000,2015,Audi
Q3 ,9.90 Lakh,new delhi,Diesel,Automatic,79000,2013,Audi
Hector ,19.50 Lakh,new delhi,Petrol,Automatic,17000,2021,MG
Scorpio ,15.40 Lakh,new delhi,Diesel,Manual,8500,2019,Mahindra
6 Series ,65.00 Lakh,new delhi,Diesel,Automatic,23000,2019,BMW
i20 ,8.90 Lakh,new delhi,Petrol,Manual,9000,2020,Hyundai
Accord ,5.90 Lakh,new delhi,Petrol,Automatic,65000,2013,Honda
Hector ,19.75 Lakh,new delhi,Petrol,Automatic,7000,2021,MG
Quanto ,1.30 Lakh,new delhi,Diesel,Manual,112000,2012,Mahindra
i20 ,5.10 Lakh,new delhi,Petrol,Manual,45700,2017,Hyundai
City ,9.25 Lakh,new delhi,Petrol,Manual,28841,2019,Honda
Alto 800 ,2.95 Lakh,new delhi,CNG,Manual,43350,2018,Maruti
City ,9.25 Lakh,new delhi,Petrol,Manual,19942,2019,Honda
Verna ,8.85 Lakh,new delhi,Petrol,Manual,48735,2018,Hyundai
Etios Liva ,5.55 Lakh,new delhi,Petrol,Manual,34390,2019,Toyota
City ,9.10 Lakh,new delhi,Petrol,Manual,37646,2019,Honda
Tiguan Allspace ,31.90 Lakh,new delhi,Petrol,Automatic,15000,2020,Volkswagen
GLC ,56.00 Lakh,new delhi,Petrol,Automatic,33000,2020,Mercedes-Benz
Baleno ,5.75 Lakh,new delhi,Petrol,Manual,20000,2019,Maruti
Creta ,9.99 Lakh,new delhi,Petrol,Automatic,48000,2016,Hyundai
Alto K10 ,3.99 Lakh,new delhi,CNG,Manual,35000,2019,Maruti
City ,2.95 Lakh,new delhi,Petrol,Automatic,59000,2009,Honda
Baleno ,5.99 Lakh,new delhi,Petrol,Manual,39000,2018,Maruti
Carnival ,27.50 Lakh,new delhi,Diesel,Automatic,24000,2020,Kia
Alto K10 ,1.65 Lakh,new delhi,Petrol,Manual,31500,2011,Maruti
KWID ,2.40 Lakh,new delhi,Petrol,Automatic,60000,2017,Renault
Nexon ,6.45 Lakh,new delhi,Diesel,Manual,59000,2017,Tata
Sonata ,2.00 Lakh,new delhi,Diesel,Automatic,78000,2010,Hyundai
C-Class ,2.75 Lakh,new delhi,Diesel,Manual,44000,2007,Mercedes-Benz
Alto ,65000,new delhi,Petrol,Manual,34000,2008,Maruti
Discovery Sport ,36.00 Lakh,new delhi,Diesel,Automatic,77009,2017,Land Rover
Verna ,11.00 Lakh,new delhi,Diesel,Manual,24009,2020,Hyundai
KWID ,2.95 Lakh,new delhi,Petrol,Manual,65000,2016,Renault
Terrano ,3.75 Lakh,new delhi,Diesel,Manual,71000,2014,Nissan
Seltos ,18.50 Lakh,new delhi,Petrol,Automatic,12000,2020,Kia
A4 ,11.00 Lakh,new delhi,Diesel,Automatic,65000,2014,Audi
Polo ,7.20 Lakh,new delhi,Petrol,Automatic,15000,2017,Volkswagen
Grand i10 ,4.45 Lakh,new delhi,Petrol,Automatic,29000,2014,Hyundai
Sonet ,9.50 Lakh,new delhi,Petrol,Manual,30742,2021,Kia
Corolla Altis ,2.55 Lakh,new delhi,Diesel,Manual,70000,2011,Toyota
Pajero ,22.90 Lakh,new delhi,Diesel,Automatic,39000,2019,Mitsubishi
Triber ,6.25 Lakh,new delhi,Petrol,Manual,49000,2019,Renault
i10 ,1.18 Lakh,new delhi,Petrol,Manual,87000,2008,Hyundai
Accent ,1.25 Lakh,new delhi,Petrol,Manual,68000,2005,Hyundai
X3 ,49.50 Lakh,new delhi,Diesel,Automatic,33000,2019,BMW
CR-V ,12.50 Lakh,new delhi,Petrol,Automatic,72000,2016,Honda
E-Class ,42.90 Lakh,new delhi,Petrol,Automatic,56000,2017,Mercedes-Benz
S-Class ,68.00 Lakh,new delhi,Diesel,Automatic,50000,2018,Mercedes-Benz
Mobilio ,4.50 Lakh,new delhi,Diesel,Manual,65000,2015,Honda
Civic ,1.50 Lakh,new delhi,Petrol,Automatic,85000,2008,Honda
Amaze ,2.75 Lakh,new delhi,Diesel,Manual,65000,2013,Honda
Cruze ,2.75 Lakh,new delhi,Diesel,Manual,55000,2011,Chevrolet
Cooper Countryman ,19.25 Lakh,new delhi,Diesel,Automatic,52000,2016,Mini Cooper
Swift ,4.65 Lakh,new delhi,Petrol,Manual,40000,2015,Maruti
Ertiga ,5.65 Lakh,new delhi,Diesel,Manual,43000,2015,Maruti
Swift Dzire ,4.75 Lakh,new delhi,Diesel,Manual,56000,2015,Maruti
Swift Dzire ,3.25 Lakh,new delhi,Petrol,Manual,11000,2011,Maruti
Vitara Brezza ,8.38 Lakh,new delhi,Diesel,Automatic,29000,2019,Maruti
XUV500 ,10.25 Lakh,new delhi,Diesel,Manual,54000,2016,Mahindra
Bolero Neo ,11.15 Lakh,new delhi,Diesel,Manual,17000,2021,Mahindra
Verna ,4.55 Lakh,new delhi,Diesel,Manual,55000,2014,Hyundai
i20 ,6.65 Lakh,new delhi,Petrol,Manual,25000,2020,Hyundai
i20 ,3.05 Lakh,new delhi,Diesel,Manual,60000,2014,Hyundai
CLA ,16.50 Lakh,new delhi,Diesel,Automatic,85000,2015,Mercedes-Benz
Kicks ,7.65 Lakh,new delhi,Petrol,Manual,21000,2019,Nissan
i20 ,2.75 Lakh,new delhi,Petrol,Manual,66000,2012,Hyundai
Grand i10 ,3.85 Lakh,new delhi,Petrol,Manual,30031,2014,Hyundai
KWID ,4.85 Lakh,new delhi,Petrol,Automatic,15000,2020,Renault
Grand i10 ,2.95 Lakh,new delhi,Diesel,Manual,60000,2014,Hyundai
Creta ,10.65 Lakh,new delhi,Petrol,Automatic,34000,2018,Hyundai
Jazz ,5.25 Lakh,new delhi,Petrol,Manual,63000,2015,Honda
Jazz ,5.65 Lakh,new delhi,Petrol,Manual,39000,2017,Honda
City ,9.25 Lakh,new delhi,Petrol,Manual,11000,2018,Honda
Brio ,2.65 Lakh,new delhi,Petrol,Manual,70000,2012,Honda
Grand i10 ,4.55 Lakh,new delhi,Diesel,Manual,31882,2016,Hyundai
Verna ,7.45 Lakh,new delhi,Petrol,Manual,47964,2017,Hyundai
5 Series ,16.50 Lakh,new delhi,Diesel,Automatic,70000,2014,BMW
Wagon R ,1.65 Lakh,new delhi,CNG,Manual,77000,2010,Maruti
Santro Xing ,2.40 Lakh,new delhi,CNG,Manual,72000,2013,Hyundai
i10 ,1.65 Lakh,new delhi,Petrol,Manual,69000,2010,Hyundai
Ecosport ,8.75 Lakh,new delhi,Petrol,Automatic,45000,2018,Ford
GLC ,68.00 Lakh,new delhi,Diesel,Automatic,4800,2022,Mercedes-Benz
Swift Dzire ,4.15 Lakh,new delhi,Petrol,Manual,67123,2014,Maruti
Swift ,5.80 Lakh,new delhi,Petrol,Automatic,15000,2020,Maruti
Wagon R ,1.85 Lakh,new delhi,Petrol,Manual,52000,2010,Maruti
Ecosport ,5.75 Lakh,new delhi,Petrol,Manual,75000,2015,Ford
Swift Dzire ,1.85 Lakh,new delhi,Petrol,Manual,75000,2009,Maruti
i10 ,2.35 Lakh,new delhi,Petrol,Manual,69000,2012,Hyundai
XUV500 ,4.99 Lakh,new delhi,Diesel,Manual,64000,2013,Mahindra
Ciaz ,9.45 Lakh,new delhi,Petrol,Automatic,35000,2020,Maruti
Venue ,8.85 Lakh,new delhi,Petrol,Manual,51000,2019,Hyundai
Camry ,16.45 Lakh,new delhi,Petrol,Automatic,79000,2015,Toyota
City ,6.49 Lakh,new delhi,Petrol,Manual,45000,2014,Honda
City ,2.85 Lakh,new delhi,Petrol,Manual,70000,2010,Honda
Ecosport ,3.75 Lakh,new delhi,Diesel,Manual,75000,2014,Ford
City ,4.49 Lakh,new delhi,Diesel,Manual,99000,2014,Honda
Celerio ,4.50 Lakh,new delhi,Petrol,Manual,61721,2019,Maruti
A Class ,7.90 Lakh,new delhi,Diesel,Automatic,98000,2013,Mercedes-Benz
Ecosport ,8.75 Lakh,new delhi,Petrol,Manual,28000,2020,Ford
Santro ,4.90 Lakh,new delhi,Petrol,Manual,50000,2019,Hyundai
City ,5.75 Lakh,new delhi,Petrol,Manual,75000,2014,Honda
Quanto ,2.20 Lakh,new delhi,Diesel,Manual,82000,2012,Mahindra
E-Class ,47.90 Lakh,new delhi,Petrol,Automatic,55000,2018,Mercedes-Benz
RediGO ,3.75 Lakh,new delhi,Petrol,Automatic,11000,2018,Datsun
City ,2.60 Lakh,new delhi,Petrol,Manual,67000,2011,Honda
Swift Dzire ,3.55 Lakh,new delhi,Petrol,Automatic,58000,2012,Maruti
City ,11.65 Lakh,new delhi,Petrol,Manual,29000,2019,Honda
