,Name,Price,Location,Fuel Type,Transmission,Kms Driven,Year,Company Name
45,City ,1132000,new delhi,Petrol,Manual,16241,2020,Honda
46,Creta ,1268000,new delhi,Petrol,Manual,24697,2019,Hyundai
47,Creta ,908000,new delhi,Petrol,Manual,44461,2016,Hyundai
48,Alto 800 ,318000,new delhi,Petrol,Manual,52387,2018,Maruti
49,Ciaz ,737000,new delhi,Petrol,Manual,19880,2018,Maruti
50,City ,934000,new delhi,Petrol,Manual,55564,2018,Honda
51,Baleno ,649000,new delhi,Petrol,Manual,31499,2020,Maruti
52,Alto K10 ,383000,new delhi,Petrol,Manual,37704,2019,Maruti
53,Ciaz ,860000,new delhi,Petrol,Manual,82496,2019,Maruti
54,Baleno ,685000,new delhi,Petrol,Manual,28627,2019,Maruti
55,Baleno ,604000,new delhi,Petrol,Manual,49010,2017,Maruti
56,TUV 300 ,648000,new delhi,Diesel,Manual,68282,2017,Mahindra
57,WR-V ,643000,new delhi,Petrol,Manual,37408,2018,Honda
58,Baleno ,593000,new delhi,Petrol,Manual,22258,2017,Maruti
59,Creta ,1073000,new delhi,Petrol,Manual,24921,2018,Hyundai
60,Xcent ,408000,new delhi,Petrol,Manual,81193,2014,Hyundai
61,Rapid ,303000,new delhi,Diesel,Manual,112441,2013,Skoda
62,Swift ,428000,new delhi,Petrol,Manual,75020,2015,Maruti
63,i10 ,390000,new delhi,Petrol,Manual,33373,2015,Hyundai
64,Alto K10 ,264000,new delhi,Petrol,Manual,81851,2014,Maruti
65,Swift Dzire ,403000,new delhi,Petrol,Manual,84805,2014,Maruti
66,WR-V ,775000,new delhi,Petrol,Manual,30183,2018,Honda
67,Compass ,1244000,new delhi,Petrol,Manual,29720,2018,Jeep
68,Creta ,778000,new delhi,Diesel,Manual,38280,2015,Hyundai
69,Vitara Brezza ,1036000,new delhi,Petrol,Manual,26278,2020,Maruti
70,Swift ,398000,new delhi,Petrol,Manual,80606,2015,Maruti
71,Glanza ,827000,new delhi,Petrol,Automatic,25635,2019,Toyota
72,S-Presso ,428000,new delhi,Petrol,Manual,20318,2020,Maruti
73,Creta ,848000,new delhi,Petrol,Manual,42940,2016,Hyundai
74,Swift Dzire ,631000,new delhi,Petrol,Automatic,38168,2018,Maruti
75,Swift ,665000,new delhi,Petrol,Manual,19087,2021,Maruti
76,Octavia ,1801000,new delhi,Petrol,Automatic,11555,2019,Skoda
77,Vitara Brezza ,958000,new delhi,Petrol,Manual,21127,2020,Maruti
78,S-Presso ,440000,new delhi,Petrol,Manual,30480,2020,Maruti
79,i20 ,621000,new delhi,Petrol,Manual,28886,2018,Hyundai
80,Grand i10 ,420000,new delhi,Petrol,Manual,40191,2017,Hyundai
81,Santro ,572000,new delhi,CNG,Manual,39418,2020,Hyundai
